Fonction;Expérience fonction;Niveau Etudes;Structure;Secteur Activité;Taille Société;Nbre dossiers gérés mensuellement;Paie internalisée ou externalisée;Nbre Bulletins Produits;Nbre Bulletins Supervisés;Nbre de CCN;Management;Volume de paies supervisées;Nbre de personnes supervisées;Quelle est votre expérience totale ?;Combien de jours de télétravail avez vous par semaine ?;Rémunération brute;Avez vous primes et avantages salariaux (hors légal) ?;Anglais dans votre quotidien pro ?;Dans quel département travaillez vous ?;Quel est votre sexe ?;Quelle est votre tranche d'âge ?;Poste;Localisation
Responsable Paie & SIRH;+ 12 ans;Bac+5;Entreprise;Industries;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;15 à 20 ans;3;53300;Oui;;77;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;0;1;Oui;- de 500;1;1 à 3 ans;1;30000;Oui;Non;75;Homme;- 25 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Services aux entreprises;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;15 à 20 ans;2;40000;Oui;Non;93;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Entreprise;Edition / Communication / Multimédia;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;2;39000;Non;Oui, écrit;75;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Santé - Etablissements Hospitaliers;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;1;38000;Oui;Non;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Oui;- de 500;1;4 à 7 ans;2;32000;Oui;Non;34;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+5;Entreprise;BTP / Travaux / Construction;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;15 à 20 ans;1;49500;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;2;30000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Automobile;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;37500;Non;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Bailleur social;2500 à 5000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;3;40000;Non;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Retail;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;1;Non;NC;NC;4 à 7 ans;0;45000;Non;;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;4 à 7 ans;0;36000;Non;Non;69;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;37375;Oui;Non;93;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Agroalimentaire;10 001 à 30 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;45500;Oui;Non;78;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;8 à 12 ans;Bac+2;Entreprise;Industries;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;+ de 21 ans;0;62000;Non;Oui, écrit;91;Homme;46 à 55 ans;Responsable Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Entreprise;Retail;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;2;43500;Oui;Non;75;Femme;26 à 35 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;10 001 à 30 000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;41000;Oui;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;- 1 an;Bac+5;Société d'externalisation de paies;NC;251 à 1000;-10;Internalisée (tout est géré en interne);0;NC;10;Non;NC;NC;4 à 7 ans;4;50000;Oui;Non;92;Homme;36 à 45 ans;Consultant Paie;IDF
Directeur/trice Paie;4 à 7 ans;Bac+3;Société d'externalisation de paies;NC;Moins de 50;11 à 20;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;6 à 10;Non;NC;NC;8 à 12 ans;5;40000;Non;Non;1;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+3;Entreprise;Services aux entreprises;51 à 250;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;0;43200;Non;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Organisme de formation;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;2;33500;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;4 à 7 ans;Bac+3;Société d'externalisation de paies;NC;251 à 1000;-10;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;6 à 10;Non;NC;NC;15 à 20 ans;3;46500;Oui;Non;44;Homme;36 à 45 ans;Consultant Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Retail;1000 à 2500;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;3;35000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Entreprise;HLM;2500 à 5000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;41600;Oui;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Banque / Assurance / Mutuelle;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;2;35000;Non;Non;94;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;BTP / Travaux / Construction;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;1;39000;Oui;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Edition / Communication / Multimédia;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Oui;- de 500;1;1 à 3 ans;5;27600;Non;Non;78;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+5;Entreprise;Edition / Communication / Multimédia;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;1;45000;Oui;Non;92;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Service public;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;501 à 1 500;6 à 10;1 à 3 ans;2;35000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;30 001;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;1 à 3 ans;2;34000;Non;Non;95;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Services aux entreprises;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;1;40000;Oui;Oui, écrit et oral;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;;Entreprise;Service public;5001 à 10 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;1;32000;Oui;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Entreprise;Informatique / Télécoms;5001 à 10 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;8 à 12 ans;2;39600;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;BTP / Travaux / Construction;30 001;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;1;39235;Oui;Non;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Service public;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;2 à 3;Non;NC;NC;1 à 3 ans;1;23000;Oui;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+5;Entreprise;Banque / Assurance / Mutuelle;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;15 à 20 ans;2;45000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;30 001;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;4 à 7 ans;3;36000;Oui;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Transport / Logistique;251 à 1000;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;1 à 3 ans;1;33600;Oui;Non;95;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;10 001 à 30 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Oui;- de 500;1;+ de 21 ans;0;62000;Oui;Non;91;Femme;+ 56 ans;Responsable Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Associatif;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Oui;501 à 1 500;1;4 à 7 ans;1;53500;Non;Non;75;Femme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Entreprise;BTP / Travaux / Construction;5001 à 10 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Oui;- de 500;1;1 à 3 ans;2;38000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+3;Entreprise;Associatif;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;2;42000;Non;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;HCR (Hotels, Cafés, Restaurants);30 001;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;501 à 1 500;1;1 à 3 ans;2;39000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Transport / Logistique;51 à 250;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;2 à 3;Non;NC;NC;4 à 7 ans;1;32000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;;Entreprise;Transport / Logistique;5001 à 10 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;501 à 1 500;2 à 5;+ de 21 ans;1;39600;Oui;Non;13;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Services aux entreprises;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;10;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;0;43000;Non;Oui, écrit et oral;54;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;HCR (Hotels, Cafés, Restaurants);2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;1 à 3 ans;2;36000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Etudes / Conseils;2500 à 5000;NC;Internalisée (tout est géré en interne);- de 50;NC;1;Non;NC;NC;1 à 3 ans;1;35000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);51 à 150;NC;2 à 3;Non;NC;NC;15 à 20 ans;0;42000;Non;Non;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+3;Entreprise;Nettoyage industriel / Sécurité;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;+ de 21 ans;2;71000;Non;Non;91;Homme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;3;16000;Oui;Oui, écrit;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;4 à 7 ans;Bac+2;Entreprise;Tout type de secteur;2500 à 5000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;10;Oui;3 001 à 5 000;2 à 5;4 à 7 ans;2;40000;Non;Oui, écrit et oral;93;Femme;36 à 45 ans;Consultant Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Associatif;5001 à 10 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;1 à 3 ans;3;35350;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Médico Social;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;2;32000;Non;Non;91;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;8 à 12 ans;Bac+5;Entreprise;Industries;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;8 à 12 ans;2;70000;Oui;Non;75;Femme;26 à 35 ans;Responsable Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+2;Cabinet d'Expertise Comptable;NC;2500 à 5000;-10;Internalisée (tout est géré en interne);151 à 300;NC;10;Oui;1 501 à 3 000;2 à 5;15 à 20 ans;1;52000;Oui;Non;77;Femme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Recyclage;30 001;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;1 à 3 ans;2;32000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Directeur/trice Paie;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;91;Internalisée (tout est géré en interne);701;NC;10;Oui;1 501 à 3 000;6 à 10;8 à 12 ans;2;68000;Oui;Oui, écrit;75;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;UNIVERSITE;1000 à 2500;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;29000;Oui;Non;91;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;10;Oui;501 à 1 500;2 à 5;8 à 12 ans;2;37000;Oui;Non;35;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Directeur/trice Paie;1 à 3 ans;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;11 à 20;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;4 à 6;Oui;- de 500;2 à 5;8 à 12 ans;5;50000;Non;Non;45;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;91;Internalisée (tout est géré en interne);701;NC;10;Oui;- de 500;2 à 5;15 à 20 ans;1;58000;Oui;Oui, écrit et oral;75;Femme;36 à 45 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Banque / Assurance / Mutuelle;30 001;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;1 à 3 ans;2;38000;Non;Non;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Non;NC;NC;4 à 7 ans;1;35000;Non;Non;94;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Transport / Logistique;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;1 501 à 3 000;2 à 5;+ de 21 ans;1;45000;Non;Non;94;Femme;+ 56 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Transport / Logistique;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;2 à 3;Non;NC;NC;1 à 3 ans;0;29750;Oui;Non;77;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;METALLURGIE;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Non;NC;NC;+ de 21 ans;2;41000;Oui;Non;93;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Associatif;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;0;30000;Oui;Non;34;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Epic;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;5;36000;Oui;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+5;Entreprise;Commerce / Négoce / Distribution;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;5 001 à 10 000;21 à 40;8 à 12 ans;2;56000;Oui;Non;69;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Industries;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;0;50000;Non;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Nettoyage industriel / Sécurité;30 001;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;1 à 3 ans;2;34000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Informatique / Télécoms;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;2;25000;Non;Non;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;4 à 7 ans;3;42200;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Entreprise;Industries;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;1;Non;NC;NC;8 à 12 ans;3;47000;Oui;Oui, écrit et oral;28;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+5;Société d'externalisation de paies;NC;30 001;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;44000;Non;Non;95;Femme;46 à 55 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Associatif;2500 à 5000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;3;36360;Non;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Banque / Assurance / Mutuelle;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;1;39700;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+3;Entreprise;Service public;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;8 à 12 ans;1;40000;Oui;Non;69;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;5001 à 10 000;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;+ de 21 ans;2;41000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Banque / Assurance / Mutuelle;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;1;Non;NC;NC;4 à 7 ans;3;39000;Oui;Non;94;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;1;8 à 12 ans;2;52000;Oui;Non;13;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;51 à 250;61 à 90;Totalement externalisée (la production du BS est gérée par le prestataire);NC;0;10;Non;NC;NC;1 à 3 ans;2;32500;Oui;Oui, écrit;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac;Entreprise;Sécurité incendie, aéronautique, naval;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;1;36000;Non;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;BTP / Travaux / Construction;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;2 à 3;Oui;- de 500;2 à 5;15 à 20 ans;0;58000;Non;Non;94;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Entreprise;Enseignement superieur;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;- de 500;2 à 5;4 à 7 ans;1;42000;Non;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Audiovisuel;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;4 à 6;Non;NC;NC;1 à 3 ans;2;36000;Non;Non;92;Femme;- 25 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;- 1 an;Bac+2;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;- 1 an;2;32000;Oui;Non;69;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;- 1 an;Bac+2;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;- 1 an;2;35000;Non;Non;92;Femme;+ 56 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Multi metiers interim;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Oui;- de 500;1;4 à 7 ans;3;31200;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Automobile;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;0;33204;Non;Non;34;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Centre de formation;251 à 1000;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;1;Oui;- de 500;1;15 à 20 ans;2;36000;Non;Non;34;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+5;Entreprise;Associatif;5001 à 10 000;NC;Internalisée (tout est géré en interne);0;NC;2 à 3;Oui;5 001 à 10 000;11 à 20;15 à 20 ans;2;79000;Oui;Non;75;Homme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;2;30000;Oui;Non;14;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
